group,y_true,n_before,n_after_filter,n_balanced,filter_keep_rate,filter_drop_rate,balance_keep_rate_from_filtered,balance_keep_rate_from_raw
female-doctor,0,50,11,11,0.22,0.78,1.0,0.22
female-nurse,0,50,22,11,0.44,0.56,0.5,0.22
male-doctor,0,50,26,11,0.52,0.48,0.4230769230769231,0.22
male-nurse,0,41,18,11,0.43902439024390244,0.5609756097560976,0.6111111111111112,0.2682926829268293
female-doctor,1,100,7,7,0.07,0.9299999999999999,1.0,0.07
female-nurse,1,100,47,7,0.47,0.53,0.14893617021276595,0.07
male-doctor,1,100,33,7,0.33,0.6699999999999999,0.21212121212121213,0.07
male-nurse,1,100,44,7,0.44,0.56,0.1590909090909091,0.07
