detector,status,metadata_rows,score_rows_total,score_rows_test,metadata_groups,groups_in_test,accuracy,auc,accuracy_disparity,max_gap_fpr,max_gap_fnr,worst_group_error,fm_eo_pct,fdp_pct,ffpr_pct,foae_pct,score_csv_mtime,summary_json_mtime
npr,current_aligned,72,72,72,4,4,0.9722222222222221,0.9764610389610391,0.11111111111111101,0.18181818181818102,0.0,0.11111111111111101,18.181818181818183,11.11111111111111,18.181818181818183,11.111111111111116,1776369949.0,1776370087.0
lgrad,current_aligned,72,72,72,4,4,0.9027777777777771,0.973214285714285,0.16666666666666602,0.27272727272727204,0.14285714285714202,0.16666666666666602,27.27272727272727,16.666666666666668,27.27272727272727,16.666666666666664,1776369986.0,1776370063.0
cnndetection,current_aligned,72,72,72,4,4,0.652777777777777,0.6379870129870131,0.11111111111111101,0.0,0.28571428571428503,0.388888888888888,28.57142857142857,11.11111111111111,0.0,11.111111111111105,1776369937.0,1776370038.0
