group,y_true,n,quality_mean,quality_std,clip_mean,clip_std,target_group_mean,group_margin_mean,human_photo_mean
female-doctor,0,50,-9.786108916368763,5.828713599701464,0.28055003106594084,0.01572754086714992,0.2840136644244194,0.014210333228111225,0.23552443087100983
female-nurse,0,50,-6.047101427136677,4.460479649066187,0.30392305850982665,0.015693630016162377,0.2895582103729248,0.012951937615871385,0.25223192930221555
male-doctor,0,50,-10.37793921127268,6.957492581151668,0.2873861384391785,0.017740798164111584,0.2818945696949959,0.01755605041980739,0.24303026795387267
male-nurse,0,41,-10.229236236151918,7.244993392270535,0.28382094604213065,0.017865349986701598,0.3019584490031731,0.010137065518193078,0.2618273896415059
female-doctor,1,100,-6.127834185531202,3.917282075190714,0.29180388182401656,0.012379098349605105,0.29830664485692976,0.01594232171773906,0.23367809936404227
female-nurse,1,100,-4.751402813210412,2.9187099702064176,0.30050705567002295,0.02724298492623987,0.2869546814262867,0.014328391700983004,0.2465848632156849
male-doctor,1,100,-6.87429238923669,3.739995819050898,0.29015078336000444,0.011836359805808305,0.28855398669838905,0.021417296230792957,0.2387461295723915
male-nurse,1,100,-6.6537309234618895,3.7985440811777904,0.270236968845129,0.030212111658786317,0.27687752634286883,0.007831884324550597,0.2569666777551174
