group,y_true,n,quality_mean,quality_std,clip_mean,clip_std,target_group_mean,group_margin_mean,human_photo_mean
female-doctor,0,11,-8.42828394682816,6.700915519214275,0.2814483181996779,0.010324661413070625,0.2793756804682992,0.017772902141917794,0.23754502020098947
female-nurse,0,11,-4.616021440426081,2.0853066856506417,0.2931824868375605,0.015118263480102138,0.2771954184228724,0.022694226015697795,0.25634123520417645
male-doctor,0,11,-9.491246674652741,5.293801573614427,0.2847672944719141,0.007559419125993979,0.2780415280298753,0.022723761471835007,0.24063680253245615
male-nurse,0,11,-8.460091342904256,3.87993170544084,0.2857629223303361,0.009440155832748926,0.30105475133115595,0.016950244253331928,0.26560456915335223
female-doctor,1,7,-5.682079392051299,4.7778666877043205,0.284402642931257,0.011806855801213644,0.29078687940325054,0.020491153001785244,0.2386387096984046
female-nurse,1,7,-4.136782756605434,2.1106654007546153,0.28811928629875183,0.003668262494830557,0.27583255086626324,0.020382744925362673,0.2501651091235025
male-doctor,1,7,-6.148982956087784,4.684751953429924,0.2867237755230495,0.0008875682356581285,0.2818856452192579,0.02198042188371926,0.24202609913689743
male-nurse,1,7,-5.967739601084986,2.5770178574950737,0.2868202456406185,0.0021145261715036956,0.29219190563474384,0.013794818094798442,0.2580867473568235
